MPSIS:;MPT:;PI:;SSP LABY:;SSP PROJEKTY:;INTER-AS NETWORKS:;ED:;RUTING:;NAZWISKO:
Pon. 8:00-9:30;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 11:20-12:50;Pon. 17:16-20:00;;Sr. 14:40-17:40;JAN13 KOWALSKI13
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;Sr. 17:40-20:40;JAN14 KOWALSKI14
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 11:20-12:50;Pon. 17:15-20:00;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN15 KOWALSKI15
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN16 KOWALSKI16
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN17 KOWALSKI17
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:16-20:00;;Sr. 14:40-17:40;JAN18 KOWALSKI18
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 14:40-16:10;Sr. 17:40-20:40;JAN19 KOWALSKI19
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;;Sr. 17:40-20:40;JAN20 KOWALSKI20
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN21 KOWALSKI21
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN22 KOWALSKI22
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 9:40-11:10;Pon. 17:15-20:00;;Sr. 17:40-20:40;JAN23 KOWALSKI23
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 11:20-12:50;;JAN24 KOWALSKI24
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 11:20-12:50;Sr. 17:40-20:40;JAN25 KOWALSKI25
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN26 KOWALSKI26
Pon. 8:00-9:30;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN27 KOWALSKI27
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 9:40-11:10;;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN28 KOWALSKI28
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 11:20-12:50;Pt. 13:00-14:30;Czw. 9:40-11:10;Pon. 17:15-20:00;;Sr. 14:40-17:40;JAN29 KOWALSKI29
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 11:20-12:50;;Sr. 14:40-16:10;;JAN30 KOWALSKI30
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 11:20-12:50;;JAN31 KOWALSKI31
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:16-20:00;;Sr. 14:40-17:40;JAN32 KOWALSKI32
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN33 KOWALSKI33
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 9:40-11:10;Pon. 17:16-20:00;Sr. 14:40-16:10;Sr. 17:40-20:40;JAN34 KOWALSKI34
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 9:40-11:10;;Sr. 14:40-16:10;Sr. 17:40-20:40;JAN35 KOWALSKI35
Pon. 8:00-9:30;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 11:20-12:50;Pon. 17:15-20:00;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN36 KOWALSKI36
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN37 KOWALSKI37
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN38 KOWALSKI38
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 11:20-12:50;Pt. 13:00-14:30;Czw. 11:20-12:50;;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN39 KOWALSKI39
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 11:20-12:50;Pt. 13:00-14:30;Czw. 11:20-12:50;Pon. 17:16-20:00;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN40 KOWALSKI40
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;Pon. 17:15-20:00;;Sr. 14:40-17:40;JAN41 KOWALSKI41
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;Pon. 17:15-20:00;;;JAN42 KOWALSKI42
Pon. 9:40-11:10;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;Pon. 17:15-20:00;;;JAN43 KOWALSKI43
Pon. 8:00-9:30;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;Pon. 17:15-20:00;Sr. 11:20-12:50;;JAN44 KOWALSKI44
Pon. 8:00-9:30;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN45 KOWALSKI45
Pon. 8:00-9:30;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 9:40-11:10;;Sr. 11:20-12:50;;JAN46 KOWALSKI46
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 14:40-16:10;Sr. 17:40-20:40;JAN47 KOWALSKI47
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN48 KOWALSKI48
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;Pon. 17:16-20:00;;Sr. 14:40-17:40;JAN49 KOWALSKI49
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:16-20:00;;Sr. 14:40-17:40;JAN50 KOWALSKI50
Pon. 8:00-9:30;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;Pon. 17:16-20:00;Sr. 11:20-12:50;;JAN51 KOWALSKI51
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN52 KOWALSKI52
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN53 KOWALSKI53
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 11:20-12:50;Sr. 14:40-17:40;JAN54 KOWALSKI54
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN55 KOWALSKI55
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN56 KOWALSKI56
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN57 KOWALSKI57
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;; ;
